53	Salmonella diarizonae;Salmonella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Salmonella enterica;Salmonella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
54	Pseudomonas_E sp003428805;Pseudomonas_E;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Stenotrophomonas rhizophila;Stenotrophomonas;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria
55	Bacillus pumilus_N;Bacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes	Bacillus pumilus;Bacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes
56	Listeria_A weihenstephanensis;Listeria_A;Listeriaceae;Lactobacillales;Bacilli;Firmicutes	Listeria weihenstephanensis;Listeria;Listeriaceae;Bacillales;Bacilli;Firmicutes
57	Thermosynechococcus elongatus_B;Thermosynechococcus;Thermosynechococcaceae;Thermosynechococcales;Cyanobacteriia;Cyanobacteria	Thermosynechococcus vestitus;Thermosynechococcus;Thermosynechococcaceae;Pseudanabaenales;na;Cyanobacteria
58	Planktothrix agardhii;Planktothrix;Phormidiaceae;Cyanobacteriales;Cyanobacteriia;Cyanobacteria	Planktothrix agardhii;Planktothrix;Microcoleaceae;Oscillatoriales;na;Cyanobacteria
59	Streptomyces sp003116725;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteriota	Streptomyces griseus;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteria
60	Buchnera aphidicola_AL;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
61	Anabaenopsis sp003990705;Anabaenopsis;Nostocaceae;Cyanobacteriales;Cyanobacteriia;Cyanobacteria	Nostoc sp. HK-01;Nostoc;Nostocaceae;Nostocales;na;Cyanobacteria
62	Pseudomonas_E sp002255865;Pseudomonas_E;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Pseudomonas poae;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria
63	Arthrobacter_D sp004001285;Arthrobacter_D;Micrococcaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Arthrobacter sp. MN05-02;Arthrobacter;Micrococcaceae;Micrococcales;Actinomycetia;Actinobacteria
64	Halomonas olivaria;Halomonas;Halomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Halomonas olivaria;Halomonas;Halomonadaceae;Oceanospirillales;Gammaproteobacteria;Proteobacteria
65	Calothrix sp004296455;Calothrix;Nostocaceae;Cyanobacteriales;Cyanobacteriia;Cyanobacteria	Calothrix sp. NIES-4101;Calothrix;Calotrichaceae;Nostocales;na;Cyanobacteria
66	Glaesserella indolicus_A;Glaesserella;Pasteurellaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Actinobacillus indolicus;Actinobacillus;Pasteurellaceae;Pasteurellales;Gammaproteobacteria;Proteobacteria
67	Buchnera aphidicola_AG;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
68	Buchnera aphidicola_S;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
69	Buchnera aphidicola_AE;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
70	Buchnera aphidicola_U;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
71	Buchnera aphidicola_Z;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
